taxon	sequenceID	host_sci_name	name	clade
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1030	1030	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1044	1044	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1051	1051	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1060	1060	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1066	1066	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1077	1077	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1089	1089	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1095	1095	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1104	1104	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/111	111	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1112	1112	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1129	1129	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1135	1135	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1162	1162	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1169	1169	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1182	1182	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1195	1195	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1209	1209	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1217	1217	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1225	1225	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1227	1227	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1240	1240	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1262	1262	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1270	1270	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1293	1293	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1323	1323	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1330	1330	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1337	1337	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1348	1348	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1351	1351	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1354	1354	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/136	136	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1374	1374	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/138	138	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1387	1387	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1388	1388	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1399	1399	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1401	1401	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1410	1410	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1420	1420	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1428	1428	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/143	143	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/1432	1432	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/152	152	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/159	159	-	-	-
alignment/AL_A3Z3_UNCONSTRAINED/member/fasta-digs-msa/162	162	-	-	-
